,Title,Year,Rated,Released,Runtime,Genre,Director,Writer,Actors,Plot,Language,Country,Awards,Poster,Ratings,Metascore,imdbRating,imdbVotes,imdbID,Type,DVD,BoxOffice,Production,Website,Response,totalSeasons,Error
272,,,,,,,,,,,,,,,,,,,,,,,,,False,,Series not found!
273,My Sex Robot,2010,N/A,N/A,N/A,Documentary,N/A,N/A,N/A,"A documentary about the rising popularity of sex robots. In this, we meet a number of men who are attracted to robots and the pioneers who are making this fantasy, into a reality.",English,UK,N/A,https://ia.media-imdb.com/images/M/MV5BMWQ2ZmQwYzAtYjg2Yy00NzllLWExNWQtOTQ2ZmQzYzQwMjFhXkEyXkFqcGdeQXVyNjc5NzE4NDg@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '4.5/10'}]",N/A,4.5,52,tt6920930,movie,N/A,N/A,N/A,N/A,True,,
274,,,,,,,,,,,,,,,,,,,,,,,,,False,,Movie not found!
275,,,,,,,,,,,,,,,,,,,,,,,,,False,,Series not found!
276,,,,,,,,,,,,,,,,,,,,,,,,,False,,Movie not found!
277,Bitten: Sarah Graham Cooks Cape Town,2013–,N/A,05 May 2013,24 min,Reality-TV,N/A,N/A,Sarah Graham,"Sarah Graham Cooks Cape Town is a cooking show about building relationships with people around food. It's all about accessibility, creating unintimidating dishes for real people in real ...",English,South Africa,N/A,N/A,[],N/A,N/A,N/A,tt3482814,series,,,,,True,1,
278,My Runway,2016–,N/A,N/A,25 min,Drama,N/A,N/A,Ahn Bo-Hyun,"Han Seo Yeon, a bright, healthy, and outgoing high school student who dreams of becoming a model. Her journey to achieving her dream will be portrayed in 'My Runway'.",Korean,South Korea,N/A,https://m.media-amazon.com/images/M/MV5BMDUyNGY5YTQtMGE2Yy00NTgyLWI1YWQtZTUxODFlYTU0NzJjXkEyXkFqcGdeQXVyNDY2NDkxNDU@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.2/10'}]",N/A,6.2,148,tt6968336,series,,,,,True,N/A,
279,,,,,,,,,,,,,,,,,,,,,,,,,False,,Movie not found!
280,Ajin,2016–,TV-MA,16 Jan 2016,24 min,"Animation, Action, Adventure, Drama, Fantasy, Horror, Mystery, Sci-Fi, Thriller",N/A,"Tsuina Miura, Gamon Sakurai","Mamoru Miyano, Martin Billany, Johnny Yong Bosch, Lucien Dodge","A high school student discovers he is an Ajin, a demi-human being. He ends up a fugitive on the run because of his powers.",Japanese,Japan,N/A,https://m.media-amazon.com/images/M/MV5BMTc5MTE1ZWItMjRlOC00OGI0LTkyNGMtZjYyMzJkN2E5ZTMzXkEyXkFqcGdeQXVyMjQ5NjMxNDA@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.7/10'}]",N/A,7.7,"4,533",tt5537534,series,,,,,True,2,
281,Chasing Cameron,2016–,TV-PG,27 Dec 2016,31 min,Reality-TV,N/A,N/A,"Trey Schafer, Aaron Carpenter, Cameron Dallas, Bart Bordelon","The series centers around Cameron Dallas, a ""social media influencer"",best known for his Vine videos. The half-hour episodes show Cameron, and Magcon members' road to stardom. Co-stars tour members and Dallas' immediate family members.",English,USA,N/A,https://m.media-amazon.com/images/M/MV5BMmQxZTE1YjItMTQ5YS00YzM4LWFhMjUtZjVlMmIwYTFjOGY5L2ltYWdlL2ltYWdlXkEyXkFqcGdeQXVyMjMxNTAxNDk@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '3.9/10'}]",N/A,3.9,417,tt6370626,series,,,,,True,1,
282,Star Trek: The Animated Series,1973–1975,TV-Y7,08 Sep 1973,30 min,"Animation, Action, Adventure, Family, Sci-Fi",N/A,Gene Roddenberry,"William Shatner, Leonard Nimoy, DeForest Kelley, George Takei","The further adventures of Captain James T. Kirk and the crew of the USS Enterprise, as they explore the galaxy and defend the United Federation of Planets.",English,USA,2 wins & 3 nominations.,https://m.media-amazon.com/images/M/MV5BMzI0Y2Y0NDYtY2VhZS00YjEyLWE1MTAtMzgyNTg3ZjQ5MmJmL2ltYWdlL2ltYWdlXkEyXkFqcGdeQXVyNjUwNzk3NDc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.5/10'}]",N/A,7.5,"5,387",tt0069637,series,,,,,True,2,
283,Garfunkel and Oates: Trying to Be Special,2016,TV-MA,05 May 2016,62 min,Comedy,"Jeremy Konner, Riki Lindhome","Riki Lindhome, Kate Micucci","Riki Lindhome, Kate Micucci, Anthony Jeselnik, Steve Agee","Musical comedy duo, Garfunkel and Oats attempt to put on a comedy special.",English,USA,N/A,https://m.media-amazon.com/images/M/MV5BNGQ4MTY3YTAtZTM1ZC00NTNkLTkxOWEtMjEyOWUxNzI1NjE3XkEyXkFqcGdeQXVyNTEzNDk3NDc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.4/10'}]",N/A,7.4,635,tt5602318,movie,N/A,N/A,N/A,N/A,True,,
284,7:19,2016,N/A,23 Sep 2016,94 min,"Drama, History",Jorge Michel Grau,"Alberto Chimal, Jorge Michel Grau","Carmen Beato, Demián Bichir, Héctor Bonilla, Octavio Michel","It was 7:19 am when Mexico City was hit by the most devastating earthquake in the history of that country. In ""7:19"", a handful of survivors from different social classes try to stay alive while they wait to be rescued.",Spanish,Mexico,1 win & 2 nominations.,https://m.media-amazon.com/images/M/MV5BY2U5ZmY3NTUtNzIyNi00ZDExLWE2M2ItZDY0YTVmMDY3ZDg3XkEyXkFqcGdeQXVyMjYwNjY0Nw@@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.0/10'}, {'Source': 'Rotten Tomatoes', 'Value': '100%'}]",N/A,6.0,476,tt5979312,movie,N/A,N/A,N/A,N/A,True,,
285,,,,,,,,,,,,,,,,,,,,,,,,,False,,Movie not found!
286,,,,,,,,,,,,,,,,,,,,,,,,,False,,Series not found!
287,,,,,,,,,,,,,,,,,,,,,,,,,False,,Movie not found!
288,One in a Billion,2016,N/A,02 Nov 2016,69 min,Documentary,Roman Gackowski,N/A,"Dan Barto, Balbir Singh Bhamara, Satnam Singh Bhamara, Larry Bird","In a country of 1.2 billion people and in a sport with billions of fans worldwide, there has yet to be a single Indian-born player drafted in the NBA. One in a Billion follows the global ...","English, Punjabi",USA,N/A,https://m.media-amazon.com/images/M/MV5BYTA2MGMzYWMtZmFlZS00ZGRiLWJhZjItYjZlMzQ4MzljZWI1L2ltYWdlL2ltYWdlXkEyXkFqcGdeQXVyMjMxNjM0NDE@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.7/10'}]",N/A,6.7,395,tt6045798,movie,N/A,N/A,N/A,N/A,True,,
289,The Violin Player,2016,N/A,01 Dec 2016,72 min,Drama,Bauddhayan Mukherji,Bauddhayan Mukherji,"Adil Hussain, Ritwick Chakraborty, Nayani Dixit, Sonam Stobgais","The Violin Player is the story of one day in the life of a Bollywood session violinist who finds expression in an unlikely place. The day unfolds to reveal startling truths about music, art, life and survival.",Hindi,India,1 win & 7 nominations.,https://m.media-amazon.com/images/M/MV5BZmUzMGFjMjMtYWM4OC00MGRmLWI0Y2MtMWVhYWIxY2IwMjkyXkEyXkFqcGdeQXVyODE5NzE3OTE@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.9/10'}]",N/A,6.9,259,tt4643520,movie,N/A,N/A,N/A,N/A,True,,
290,A Wish For Christmas,2016,TV-G,29 Oct 2016,84 min,"Drama, Family, Fantasy, Romance",Christie Will Wolf,"Helen Frost, Don MacLeod","Lacey Chabert, Paul Greene, Andrea Brooks, Colleen Wheeler","Sara Thomas is the type of woman who prefers to sit on the sidelines at work, but when her big idea for a Christmas initiative is stolen, she makes a wish to Santa that she'll finally have ...",English,"Canada, USA",N/A,https://m.media-amazon.com/images/M/MV5BZGRhYTc2ZmUtNGFiZS00YzM3LWEwMDMtZTYwNmQ5YTAzMzY2L2ltYWdlL2ltYWdlXkEyXkFqcGdeQXVyNjg5MzE4NTA@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.0/10'}]",N/A,6.0,"3,356",tt5676118,movie,01 Nov 2016,N/A,Mustard Seed Entertainment,N/A,True,,
291,Une chance de trop,2015–,N/A,N/A,52 min,"Drama, Thriller",N/A,N/A,"Alexandra Lamy, Pascal Elbé, Lionel Abelanski, Hippolyte Girardot","A doctor is shot in the back in her home, her husband is murdered and her infant daughter kidnapped. Faced with inept police, who at times suspect her, she begins her own hunt for her baby and the culprits.",N/A,France,N/A,https://m.media-amazon.com/images/M/MV5BNzgwNDcwMTk3Ml5BMl5BanBnXkFtZTgwOTk5MDM5MDI@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.3/10'}]",N/A,7.3,783,tt4322334,series,,,,,True,1,
292,I'll Be Home for Christmas,2016,TV-G,27 Nov 2016,84 min,"Drama, Family, Romance",James Brolin,Robin Bernheim,"James Brolin, Mena Suvari, Giselle Eisenberg, John Reardon","Jackie Foster (Suvari), is a dynamic Assistant District Attorney and single mom. But when Jackie's estranged dad, Jack (Brolin), a gruff retired police officer, unexpectedly shows up at her door, they will be forced to confront old wounds.",English,"USA, Canada",N/A,https://m.media-amazon.com/images/M/MV5BZDRiYWM3OGQtNTg5Yi00NWQ0LTgyNzAtNjE1NTMzZmJjZjNmXkEyXkFqcGdeQXVyNTYzNzcxMDc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.1/10'}]",N/A,6.1,"1,692",tt5860940,movie,N/A,N/A,World Joy Productions,N/A,True,,
293,Barry,2016,N/A,16 Dec 2016,104 min,"Biography, Drama",Vikram Gandhi,Adam Mansbach,"Devon Terrell, Anya Taylor-Joy, Jason Mitchell, Ellar Coltrane",A look into the early life of U.S. President Barack Obama.,"English, Swahili",USA,3 nominations.,https://m.media-amazon.com/images/M/MV5BNGVhNThkZDgtMTg4Ny00NTQ5LThkODAtM2EzYTE5MjJlOWVmL2ltYWdlL2ltYWdlXkEyXkFqcGdeQXVyNTI4MzE4MDU@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '5.8/10'}, {'Source': 'Rotten Tomatoes', 'Value': '80%'}, {'Source': 'Metacritic', 'Value': '72/100'}]",72,5.8,"5,818",tt5477566,movie,16 Dec 2016,N/A,Netflix,N/A,True,,
294,Crazyhead,2016,N/A,01 Oct 2016,60 min,"Comedy, Horror",N/A,N/A,"Cara Theobold, Susan Wokoma, Lewis Reeves, Tony Curran",Amy and Raquel attempt to navigate their way through the choppy waters of their early twenties whilst simultaneously kicking the ass of some seriously gnarly demons. What could possibly go wrong?,English,UK,3 wins.,https://m.media-amazon.com/images/M/MV5BY2M5MjBkMmQtODYxMS00ZGJlLWIwYWMtMzE2NmI1MDgyM2EyL2ltYWdlL2ltYWdlXkEyXkFqcGdeQXVyMjkwNzMwMTU@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.4/10'}]",N/A,7.4,"3,869",tt6038584,series,,,,,True,1,
295,Cannabis,2016,N/A,08 Dec 2016,312 min,"Crime, Drama, Thriller",N/A,Hamid Hlioua,"Kate Moran, Christophe Paou, Yasin Houicha, Jean-Michel Correia","When a huge marijuana shipment falls prey to thieves, the aftermath touches players from all ranks on the drug trade between Morocco and Europe.",French,France,N/A,https://m.media-amazon.com/images/M/MV5BNTY1Y2M3ODUtZjA2Ni00MGU2LWIyOTktMzQzY2VlZDU3NmMwL2ltYWdlL2ltYWdlXkEyXkFqcGdeQXVyMTczNDMyMTA@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.9/10'}]",N/A,6.9,517,tt6303080,series,,,,,True,1,
296,Sand Storm,2016,N/A,15 Sep 2016,87 min,Drama,Elite Zexer,Elite Zexer (screenplay),"Lamis Ammar, Ruba Blal, Hitham Omari, Khadija Al Akel","When their entire lives shatter, two Bedouin women struggle to change the unchangeable rules, each in her own individual way.",Arabic,"Israel, Germany, France",15 wins & 17 nominations.,https://m.media-amazon.com/images/M/MV5BMjE1Mjc4ODI0Nl5BMl5BanBnXkFtZTgwNTE4NjI4OTE@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.9/10'}, {'Source': 'Rotten Tomatoes', 'Value': '93%'}, {'Source': 'Metacritic', 'Value': '74/100'}]",74,6.9,"2,403",tt4365518,movie,N/A,"$64,043",Beta Cinema,N/A,True,,
297,,,,,,,,,,,,,,,,,,,,,,,,,False,,No API key provided.
298,Ice Fantasy,2016–,TV-14,24 Jul 2016,44 min,"Adventure, Fantasy, War",N/A,N/A,"Shaofeng Feng, Tianyu Ma, Victoria Song, Meng Zhang","A fantasy story happens in a fictional universe. Ka Suo, the prince of the Snow Nation, takes the journey to the magical holy shrine with his entourages, and incidentally discover the secrets related to his fate and beloved ones.",Mandarin,China,3 wins & 2 nominations.,https://m.media-amazon.com/images/M/MV5BZWQ0NmEwMTgtNTEwNi00YjRmLWJmM2YtZWQxNGM3Y2Q3YmZlXkEyXkFqcGdeQXVyMzA1ODAzMjM@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.1/10'}]",N/A,7.1,453,tt5022298,series,,,,,True,1,
299,Tokyo Trial,2016,N/A,N/A,N/A,Drama,N/A,N/A,"Tim Ahern, Paul Freeman, Serge Hazanavicius, Marcel Hensema",A historical drama that focuses on a decade-long investigation into events in the Pacific during and after WWII.,"Japanese, English","Canada, Japan, Netherlands",1 win & 1 nomination.,https://m.media-amazon.com/images/M/MV5BOTg3MmE0NzctYzk2Mi00M2Y0LTk4ZTktODVmNGNmMjM5ZTQ3XkEyXkFqcGdeQXVyMjAxNDg0NzA@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.4/10'}]",N/A,7.4,738,tt4040530,series,,,,,True,1,
300,Shuar: Sendero De Vida,2015,Not Rated,01 Aug 2017,90 min,Documentary,Gregory T. Collett,Gregory T. Collett,Luis Kuash,"Shuar Indigenous Communities are the oldest, largest in the Amazon jungle. The Ecuadorian Amazon holds thousands of Shuar communities. Luis Kuash, guide & Federation Shuar President, takes ...",Spanish,Ecuador,N/A,N/A,[],N/A,N/A,N/A,tt4095640,movie,N/A,N/A,N/A,N/A,True,,
301,Asperger's Are Us,2016,N/A,11 Nov 2016,82 min,"Documentary, Comedy, Drama",Alex Lehmann,N/A,"Noah Britton, Ethan Finlan, Jack Hanke, New Michael Ingemi","In this coming of age documentary, four friends on the Autism spectrum whom have bonded through humor and performed as the comedy troupe ""Asperger's Are Us"" will prepare for one final, ambitious show before going their separate ways.",English,USA,1 nomination.,https://m.media-amazon.com/images/M/MV5BMTBkZWNlNTctYjFiMy00ZDRhLThmNjYtMjkyOTljYjM1ZWUzXkEyXkFqcGdeQXVyMTU2NzQ5MzA@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.7/10'}, {'Source': 'Rotten Tomatoes', 'Value': '100%'}]",N/A,6.7,541,tt4109268,movie,N/A,N/A,Duplass Brothers,N/A,True,,
302,Mariah Carey's Merriest Christmas,2015,N/A,19 Dec 2015,N/A,Music,James Yukich,N/A,"Mariah Carey, Josh Baker, Susan Bennet, Jaeden Bettencourt","Mariah invites us to celebrate Christmas with her and her friends, and performs some classic Christmas songs.",English,USA,N/A,https://m.media-amazon.com/images/M/MV5BZjZjMTYzM2QtZGFjMC00ODFiLWE4YjctZWM3OWQ3ZmUxZTNmXkEyXkFqcGdeQXVyMTgyNDE3NTc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '4.9/10'}]",N/A,4.9,162,tt5579910,movie,N/A,N/A,N/A,N/A,True,,
303,Captive,2016–,N/A,09 Dec 2016,60 min,Documentary,N/A,N/A,Mass Nokhas,"Documentary series that depicts hostage negotiations, the stories are told by the victims themselves.",English,UK,1 nomination.,https://m.media-amazon.com/images/M/MV5BODRiZWI5MDYtOWVhOS00Y2JiLTk2NTktZTMyMDU1ZjI4Njk2L2ltYWdlL2ltYWdlXkEyXkFqcGdeQXVyMDA2NDE5MQ@@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.0/10'}]",N/A,7.0,449,tt6246500,series,,,,,True,1,
304,White Rabbit Project,2016,TV-PG,09 Dec 2016,48 min,Reality-TV,N/A,N/A,"Tory Belleci, Kari Byron, Grant Imahara","Scientists investigate unusual events from pop culture, science and history.",English,USA,N/A,https://m.media-amazon.com/images/M/MV5BZmY4Y2MwNTUtYzI3Ni00NzRkLWFlMzUtZDU1YjcyMjU3YTRlXkEyXkFqcGdeQXVyMTEzNjA2NzM@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.9/10'}]",N/A,6.9,"1,426",tt6048644,series,,,,,True,1,
305,Spectral,2016,PG-13,09 Dec 2016,107 min,"Action, Mystery, Sci-Fi, Thriller",Nic Mathieu,"Ian Fried (story), Nic Mathieu (story), George Nolfi","James Badge Dale, Emily Mortimer, Bruce Greenwood, Max Martini",A sci-fi/thriller story centered on a special-ops team that is dispatched to fight supernatural beings.,"English, Russian, Romanian, Slovenian","USA, Hungary",N/A,https://m.media-amazon.com/images/M/MV5BYWQxN2I1NjItMDVjMS00ZmJjLWIyYjItOWI2OGY5NTU1ZjI2L2ltYWdlL2ltYWdlXkEyXkFqcGdeQXVyNTc3MjM3OTA@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.3/10'}, {'Source': 'Rotten Tomatoes', 'Value': '75%'}]",N/A,6.3,"47,095",tt2106651,movie,N/A,N/A,Universal Pictures,N/A,True,,
306,Other People,2016,Unrated,09 Sep 2016,97 min,"Comedy, Drama",Chris Kelly,Chris Kelly,"Jesse Plemons, Molly Shannon, Bradley Whitford, Maude Apatow","A struggling comedy writer, fresh off a breakup and in the midst of the worst year of his life, returns to Sacramento to care for his dying mother.",English,USA,3 wins & 11 nominations.,https://m.media-amazon.com/images/M/MV5BMTk2NzUzNTgyNl5BMl5BanBnXkFtZTgwNjkzODM2OTE@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.8/10'}, {'Source': 'Rotten Tomatoes', 'Value': '85%'}, {'Source': 'Metacritic', 'Value': '67/100'}]",67,6.8,"8,347",tt4158876,movie,N/A,"$62,630",Gettin&#39; Rad Productions,N/A,True,,
307,The Cuba Libre Story,2016,TV-14,08 Dec 2016,52 min,"Documentary, History",N/A,N/A,"Ken Eaken, Jaime Suchlicki, Jean-Pierre Clerc, Michael Zeuske","This documentary series recounts the tumultuous history of Cuba, a nation of foreign conquest, freedom fighters and Cold War political machinations.",English,"France, Germany",N/A,https://m.media-amazon.com/images/M/MV5BNjllMDYzZjMtMWIzOC00NGQyLThlNzItZjFjYWM0MjdjNTJlL2ltYWdlL2ltYWdlXkEyXkFqcGdeQXVyNTUyMTMwNDc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.7/10'}]",N/A,7.7,794,tt6335696,series,,,,,True,1,
308,Bob's Broken Sleigh,2015,N/A,01 Dec 2015,N/A,Animation,Jay Surridge,"Samantha Shear, Michael Shear","Cole Howard, Bruce Greenwood, Victor Garber, Michael Adamthwaite","This Christmas movie a young magic-less elf named Bob, who finds himself on a wild sleigh ride after being ambushed by the evil puffin Fishface. Stranded in the middle of a magical forest, ...",English,Canada,1 win.,https://m.media-amazon.com/images/M/MV5BOTIxZDFlZWQtOWU5MS00YjRiLTg1NTktZjM1N2ZiNDZiZDhlXkEyXkFqcGdeQXVyNDA5ODU0NDg@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '4.7/10'}]",N/A,4.7,133,tt5236758,movie,N/A,N/A,N/A,N/A,True,,
309,Reggie Watts: Spatial,2016,N/A,06 Dec 2016,N/A,"Comedy, Music",Benjamin Dickinson,N/A,"Rory Scovel, Reggie Watts","Completely improvised show weaving together sketches, short stories, and dream sequences, filmed live on a soundstage in Los Angeles, Watts waxes poetic about flight, grits, and guns.",English,USA,N/A,https://m.media-amazon.com/images/M/MV5BZGQyNDIwMzItZDkyYy00ODEzLTkyMDctNGMwMzdlYmJlYmZlXkEyXkFqcGdeQXVyNTAyODkwOQ@@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.1/10'}]",N/A,6.1,419,tt5861260,movie,06 Dec 2016,N/A,Netflix,N/A,True,,
310,Blue Jay,2016,Unrated,11 Oct 2016,80 min,"Drama, Romance",Alex Lehmann,Mark Duplass,"Mark Duplass, Sarah Paulson, Clu Gulager, James Andrews","Meeting by chance when they return to their tiny California hometown, two former high-school sweethearts reflect on their shared past.",English,USA,1 nomination.,https://m.media-amazon.com/images/M/MV5BMjM2Nzk4ODA2M15BMl5BanBnXkFtZTgwODA5MDExMDI@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.3/10'}, {'Source': 'Rotten Tomatoes', 'Value': '90%'}, {'Source': 'Metacritic', 'Value': '69/100'}]",69,7.3,"11,628",tt5912454,movie,15 Nov 2016,"$5,159",Duplass Brothers,N/A,True,,
311,Mercenary,2016,N/A,04 Dec 2016,103 min,"Drama, Sport",Sacha Wolff,Sacha Wolff (screenplay),"Toki Pilioko, Iliana Zabeth, Mikaele Tuugahala, Laurent Pakihivatau","A young man of Wallisian origin in New Caledonia defies his father to go and play rugby in France. Living on his own on the other side of the world, he learns there is a price to pay to find success.",French,France,2 wins & 4 nominations.,https://m.media-amazon.com/images/M/MV5BMDdmOWU1NTEtOGVhYS00OGMzLWIyNTctNDNiODViYmQ2ZTZiXkEyXkFqcGdeQXVyMjQ3NzUxOTM@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.5/10'}]",N/A,6.5,577,tt4530968,movie,N/A,N/A,N/A,N/A,True,,
312,,,,,,,,,,,,,,,,,,,,,,,,,False,,Series not found!
313,Divergent,2014,PG-13,21 Mar 2014,139 min,"Action, Adventure, Mystery, Sci-Fi",Neil Burger,"Evan Daugherty (screenplay by), Vanessa Taylor (screenplay by), Veronica Roth (based on the novel by)","Shailene Woodley, Theo James, Ashley Judd, Jai Courtney","In a world divided by factions based on virtues, Tris learns she's Divergent and won't fit in. When she discovers a plot to destroy Divergents, Tris and the mysterious Four must find out what makes Divergents dangerous before it's too late.","English, Spanish",USA,7 wins & 11 nominations.,https://m.media-amazon.com/images/M/MV5BMTYxMzYwODE4OV5BMl5BanBnXkFtZTgwNDE5MzE2MDE@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.7/10'}, {'Source': 'Rotten Tomatoes', 'Value': '42%'}, {'Source': 'Metacritic', 'Value': '48/100'}]",48,6.7,"411,021",tt1840309,movie,04 Aug 2014,"$129,520,735",Lionsgate Films/Summit Entertainment,N/A,True,,
314,Interrogation,2015,N/A,01 Jan 2015,17 min,"Short, Thriller",Brian Allen,Brian Allen,"Elan Even, Jack Lidji, Richard Vernon",N/A,English,USA,N/A,https://m.media-amazon.com/images/M/MV5BYzIxZTg1OTEtNjdmNi00MjhlLTkwMjYtNTAyMGM1MDlhMTZjXkEyXkFqcGdeQXVyMjMxNjc0NTU@._V1_SX300.jpg,[],N/A,N/A,N/A,tt6176320,movie,N/A,N/A,N/A,N/A,True,,
315,Across Grace Alley,2013,N/A,05 Sep 2013,25 min,"Short, Drama, Music",Ralph Macchio,Ralph Macchio,"Ben Hyland, Karina Smirnoff, Marsha Mason, Colin Branca",ACROSS GRACE ALLEY - A young boy struggling with his parents' divorce seeks solace in his infatuation with a captivating woman he discovers through a neighboring window. This poignant and ...,English,USA,1 win & 1 nomination.,https://m.media-amazon.com/images/M/MV5BMjA3MDk2MDUwOF5BMl5BanBnXkFtZTgwNTUxMTI1MTE@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.1/10'}]",N/A,7.1,89,tt2813432,movie,N/A,N/A,N/A,N/A,True,,
316,White Girl,2016,Not Rated,01 Dec 2016,88 min,"Crime, Drama",Elizabeth Wood,Elizabeth Wood,"Morgan Saylor, Brian Marc, Justin Bartha, Chris Noth","Summer, New York City. A college girl falls hard for a guy she just met. After a night of partying goes wrong, she goes to wild extremes to get him back.",English,USA,1 win & 3 nominations.,https://m.media-amazon.com/images/M/MV5BMjMzMDY1NDcyNl5BMl5BanBnXkFtZTgwNTc0ODc4OTE@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '5.7/10'}, {'Source': 'Rotten Tomatoes', 'Value': '72%'}, {'Source': 'Metacritic', 'Value': '65/100'}]",65,5.7,"8,511",tt4129870,movie,N/A,"$198,493",Killer Films,N/A,True,,
317,For the Love of Spock,2016,Not Rated,09 Sep 2016,111 min,"Documentary, Biography",Adam Nimoy,N/A,"Zoe Saldana, Chris Pine, Karl Urban, J.J. Abrams",An examination of the enduring appeal of Leonard Nimoy and his portrayal of Spock in Star Trek: The Original Series (1966).,English,"Canada, USA",2 wins.,https://m.media-amazon.com/images/M/MV5BMjM2Mjg4Mjk5Nl5BMl5BanBnXkFtZTgwMTE1OTE5OTE@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.6/10'}, {'Source': 'Rotten Tomatoes', 'Value': '100%'}, {'Source': 'Metacritic', 'Value': '74/100'}]",74,7.6,"3,416",tt4572820,movie,06 Dec 2016,N/A,Gravitas Ventures,N/A,True,,
318,,,,,,,,,,,,,,,,,,,,,,,,,False,,Series not found!
319,Rainbow Time,2016,Not Rated,04 Nov 2016,91 min,"Comedy, Drama",Linas Phillips,Linas Phillips,"Linas Phillips, Melanie Lynskey, Timm Sharp, Davie-Blue","A developmentally delayed 40 year old man named Shonzi is sent to live with his brother Todd. But when Shonzi develops a crush on Todd's new girlfriend Lindsay, he threatens to reveal past ...",English,USA,N/A,https://m.media-amazon.com/images/M/MV5BMTU2Mjk1MDk2Ml5BMl5BanBnXkFtZTgwMzIwNzczMDI@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '5.9/10'}, {'Source': 'Rotten Tomatoes', 'Value': '67%'}, {'Source': 'Metacritic', 'Value': '55/100'}]",55,5.9,511,tt5167174,movie,27 Jun 2017,N/A,Duplass Brothers,N/A,True,,
320,,,,,,,,,,,,,,,,,,,,,,,,,False,,Movie not found!
321,,,,,,,,,,,,,,,,,,,,,,,,,False,,Series not found!
322,The Musketeers,2014–2016,TV-14,22 Jun 2014,55 min,"Adventure, Drama",N/A,Adrian Hodges,"Luke Pasqualino, Tom Burke, Santiago Cabrera, Howard Charles","Set on the streets of 17th-century Paris, ""The Musketeers"" gives a contemporary take on the classic story about a group of highly trained soldiers and bodyguards assigned to protect King and country.",English,UK,N/A,https://m.media-amazon.com/images/M/MV5BMTYwNzIwNTUwMV5BMl5BanBnXkFtZTgwODM4NzgzNDE@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.8/10'}]",N/A,7.8,"19,787",tt2733252,series,,,,,True,3,
323,Tellur Aliens,2016,TV-Y,01 Dec 2016,67 min,"Animation, Adventure, Comedy",Einar Gabbassov,N/A,N/A,Three teenaged best friends on the planet Telluria begin an incredible journey of adventure as they fight against the most evil being in the universe,"English, Mandarin, French, German, Spanish","USA, Kazakhstan",N/A,https://m.media-amazon.com/images/M/MV5BNzM5YjI0YzUtNGJjYS00OWMwLThlODUtOTk5NGNmZWQwMDQ1L2ltYWdlL2ltYWdlXkEyXkFqcGdeQXVyMjg4NzM5NTg@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '4.3/10'}]",N/A,4.3,72,tt6317016,movie,N/A,N/A,N/A,N/A,True,,
